NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables.
Annual Tide Predictions
StationName: Ensenada, Todos Santos Bay 
State:  
Stationid: TWC0403
ReferencedToStationName: San Diego, San Diego Bay
ReferencedToStationId: 9410170
HeightOffsetLow: * 0.89
HeightOffsetHigh: * 0.92
TimeOffsetLow: -11
TimeOffsetHigh: -19
Prediction Type: Subordinate
From: 20180101 01:24 - 20181231 23:01
Units: Feet and Centimeters
Time Zone: LST_LDT
Datum: MLLW
Interval Type: High/Low

Date 		Day	Time		Pred(Ft)	Pred(cm)	High/Low
2018/01/29	Mon	06:38 AM	6.43		196			H
2018/01/29	Mon	01:52 PM	-1.47		-45			L
2018/01/29	Mon	08:09 PM	4.06		124			H
2018/01/30	Tue	01:20 AM	1.23		37			L
2018/01/30	Tue	07:25 AM	6.68		204			H
2018/01/30	Tue	02:35 PM	-1.71		-52			L
2018/01/30	Tue	08:50 PM	4.30		131			H
2018/01/31	Wed	02:08 AM	1.03		31			L
2018/01/31	Wed	08:11 AM	6.72		205			H
2018/01/31	Wed	03:16 PM	-1.71		-52			L
2018/01/31	Wed	09:30 PM	4.46		136			H
2018/02/01	Thu	02:56 AM	0.91		28			L
2018/02/01	Thu	08:57 AM	6.51		198			H
2018/02/01	Thu	03:57 PM	-1.48		-45			L
2018/02/01	Thu	10:11 PM	4.55		139			H
2018/02/02	Fri	03:45 AM	0.90		27			L
2018/02/02	Fri	09:42 AM	6.05		184			H
2018/02/02	Fri	04:37 PM	-1.07		-33			L
2018/02/02	Fri	10:53 PM	4.56		139			H
2018/02/03	Sat	04:36 AM	0.99		30			L
2018/02/03	Sat	10:29 AM	5.40		165			H
2018/02/03	Sat	05:17 PM	-0.52		-16			L
2018/02/03	Sat	11:37 PM	4.52		138			H
2018/02/04	Sun	05:32 AM	1.16		35			L
2018/02/04	Sun	11:18 AM	4.62		141			H
2018/02/04	Sun	05:57 PM	0.11		3			L
2018/02/05	Mon	12:24 AM	4.44		135			H
2018/02/05	Mon	06:37 AM	1.33		41			L
2018/02/05	Mon	12:15 PM	3.81		116			H
2018/02/05	Mon	06:40 PM	0.76		23			L
2018/02/06	Tue	01:17 AM	4.36		133			H
2018/02/06	Tue	07:58 AM	1.41		43			L
2018/02/06	Tue	01:30 PM	3.10		94			H
2018/02/06	Tue	07:29 PM	1.35		41			L
2018/02/07	Wed	02:18 AM	4.31		131			H
2018/02/07	Wed	09:38 AM	1.25		38			L
2018/02/07	Wed	03:21 PM	2.71		83			H
2018/02/07	Wed	08:33 PM	1.82		55			L
2018/02/08	Thu	03:24 AM	4.36		133			H
2018/02/08	Thu	11:08 AM	0.87		27			L
2018/02/08	Thu	05:28 PM	2.78		85			H
2018/02/08	Thu	09:51 PM	2.08		63			L
2018/02/09	Fri	04:26 AM	4.51		137			H
2018/02/09	Fri	12:06 PM	0.45		14			L
2018/02/09	Fri	06:36 PM	3.04		93			H
2018/02/09	Fri	11:02 PM	2.12		65			L
2018/02/10	Sat	05:18 AM	4.73		144			H
2018/02/10	Sat	12:47 PM	0.08		2			L
2018/02/10	Sat	07:13 PM	3.28		100			H
2018/02/10	Sat	11:55 PM	2.02		62			L
2018/02/11	Sun	06:00 AM	4.98		152			H
2018/02/11	Sun	01:19 PM	-0.21		-6			L
2018/02/11	Sun	07:40 PM	3.48		106			H
2018/02/12	Mon	12:35 AM	1.84		56			L
2018/02/12	Mon	06:37 AM	5.21		159			H
2018/02/12	Mon	01:48 PM	-0.44		-13			L
2018/02/12	Mon	08:03 PM	3.66		112			H
2018/02/13	Tue	01:10 AM	1.63		50			L
2018/02/13	Tue	07:11 AM	5.41		165			H
2018/02/13	Tue	02:15 PM	-0.60		-18			L
2018/02/13	Tue	08:27 PM	3.83		117			H
2018/02/14	Wed	01:43 AM	1.43		44			L
2018/02/14	Wed	07:43 AM	5.55		169			H
2018/02/14	Wed	02:43 PM	-0.69		-21			L
2018/02/14	Wed	08:51 PM	3.98		121			H
2018/02/15	Thu	02:15 AM	1.26		38			L
2018/02/15	Thu	08:14 AM	5.58		170			H
2018/02/15	Thu	03:10 PM	-0.69		-21			L
2018/02/15	Thu	09:17 PM	4.11		125			H
2018/02/16	Fri	02:48 AM	1.14		35			L
2018/02/16	Fri	08:46 AM	5.50		168			H
2018/02/16	Fri	03:37 PM	-0.59		-18			L
2018/02/16	Fri	09:45 PM	4.21		128			H
2018/02/17	Sat	03:22 AM	1.06		32			L
2018/02/17	Sat	09:18 AM	5.29		161			H
2018/02/17	Sat	04:05 PM	-0.40		-12			L
2018/02/17	Sat	10:14 PM	4.30		131			H
2018/02/18	Sun	03:59 AM	1.04		32			L
2018/02/18	Sun	09:52 AM	4.94		151			H
2018/02/18	Sun	04:33 PM	-0.09		-3			L
2018/02/18	Sun	10:45 PM	4.36		133			H
2018/02/19	Mon	04:41 AM	1.06		32			L
2018/02/19	Mon	10:29 AM	4.45		136			H
2018/02/19	Mon	05:03 PM	0.30		9			L
2018/02/19	Mon	11:20 PM	4.40		134			H
2018/02/20	Tue	05:32 AM	1.12		34			L
2018/02/20	Tue	11:15 AM	3.86		118			H
2018/02/20	Tue	05:34 PM	0.76		23			L
2018/02/21	Wed	12:01 AM	4.43		135			H
2018/02/21	Wed	06:40 AM	1.16		35			L
2018/02/21	Wed	12:19 PM	3.22		98			H
2018/02/21	Wed	06:13 PM	1.25		38			L
2018/02/22	Thu	12:55 AM	4.46		136			H
2018/02/22	Thu	08:11 AM	1.06		32			L
2018/02/22	Thu	02:03 PM	2.73		83			H
2018/02/22	Thu	07:10 PM	1.72		52			L
2018/02/23	Fri	02:06 AM	4.56		139			H
2018/02/23	Fri	09:50 AM	0.68		21			L
2018/02/23	Fri	04:14 PM	2.71		83			H
2018/02/23	Fri	08:46 PM	2.04		62			L
2018/02/24	Sat	03:25 AM	4.80		146			H
2018/02/24	Sat	11:09 AM	0.09		3			L
2018/02/24	Sat	05:43 PM	3.08		94			H
2018/02/24	Sat	10:21 PM	2.03		62			L
2018/02/25	Sun	04:37 AM	5.20		158			H
2018/02/25	Sun	12:07 PM	-0.51		-16			L
2018/02/25	Sun	06:35 PM	3.53		108			H
2018/02/25	Sun	11:33 PM	1.74		53			L
2018/02/26	Mon	05:37 AM	5.64		172			H
2018/02/26	Mon	12:54 PM	-1.00		-30			L
2018/02/26	Mon	07:15 PM	3.95		120			H
2018/02/27	Tue	12:29 AM	1.34		41			L
2018/02/27	Tue	06:30 AM	6.02		183			H
2018/02/27	Tue	01:36 PM	-1.31		-40			L
2018/02/27	Tue	07:51 PM	4.32		132			H
2018/02/28	Wed	01:19 AM	0.92		28			L
2018/02/28	Wed	07:18 AM	6.23		190			H
2018/02/28	Wed	02:15 PM	-1.41		-43			L
2018/02/28	Wed	08:26 PM	4.62		141			H
2018/03/01	Thu	02:05 AM	0.57		17			L
2018/03/01	Thu	08:04 AM	6.23		190			H
2018/03/01	Thu	02:52 PM	-1.31		-40			L
2018/03/01	Thu	09:01 PM	4.84		148			H
2018/03/02	Fri	02:49 AM	0.34		10			L
2018/03/02	Fri	08:47 AM	5.99		183			H
2018/03/02	Fri	03:28 PM	-1.01		-31			L
2018/03/02	Fri	09:36 PM	4.95		151			H
2018/03/03	Sat	03:33 AM	0.26		8			L
2018/03/03	Sat	09:30 AM	5.54		169			H
2018/03/03	Sat	04:02 PM	-0.57		-17			L
2018/03/03	Sat	10:11 PM	4.95		151			H
2018/03/04	Sun	04:19 AM	0.32		10			L
2018/03/04	Sun	10:13 AM	4.93		150			H
2018/03/04	Sun	04:36 PM	-0.01		-0			L
2018/03/04	Sun	10:47 PM	4.85		148			H
2018/03/05	Mon	05:06 AM	0.49		15			L
2018/03/05	Mon	10:58 AM	4.23		129			H
2018/03/05	Mon	05:09 PM	0.60		18			L
2018/03/05	Mon	11:24 PM	4.65		142			H
2018/03/06	Tue	06:00 AM	0.73		22			L
2018/03/06	Tue	11:50 AM	3.52		107			H
2018/03/06	Tue	05:42 PM	1.21		37			L
2018/03/07	Wed	12:06 AM	4.40		134			H
2018/03/07	Wed	07:07 AM	0.96		29			L
2018/03/07	Wed	01:01 PM	2.91		89			H
2018/03/07	Wed	06:19 PM	1.78		54			L
2018/03/08	Thu	12:58 AM	4.14		126			H
2018/03/08	Thu	08:36 AM	1.06		32			L
2018/03/08	Thu	03:02 PM	2.59		79			H
2018/03/08	Thu	07:17 PM	2.24		68			L
2018/03/09	Fri	02:10 AM	3.97		121			H
2018/03/09	Fri	10:17 AM	0.89		27			L
2018/03/09	Fri	05:44 PM	2.81		86			H
2018/03/09	Fri	09:11 PM	2.48		76			L
2018/03/10	Sat	03:34 AM	3.99		122			H
2018/03/10	Sat	11:28 AM	0.57		17			L
2018/03/10	Sat	06:28 PM	3.12		95			H
2018/03/10	Sat	10:48 PM	2.38		73			L
2018/03/11	Sun	05:43 AM	4.20		128			H
2018/03/11	Sun	01:12 PM	0.25		8			L
2018/03/11	Sun	07:51 PM	3.40		104			H
2018/03/12	Mon	12:44 AM	2.09		64			L
2018/03/12	Mon	06:35 AM	4.50		137			H
2018/03/12	Mon	01:46 PM	-0.02		-1			L
2018/03/12	Mon	08:10 PM	3.64		111			H
2018/03/13	Tue	01:24 AM	1.76		54			L
2018/03/13	Tue	07:15 AM	4.80		146			H
2018/03/13	Tue	02:15 PM	-0.24		-7			L
2018/03/13	Tue	08:29 PM	3.89		119			H
2018/03/14	Wed	01:57 AM	1.41		43			L
2018/03/14	Wed	07:51 AM	5.05		154			H
2018/03/14	Wed	02:42 PM	-0.40		-12			L
2018/03/14	Wed	08:50 PM	4.14		126			H
2018/03/15	Thu	02:29 AM	1.07		33			L
2018/03/15	Thu	08:25 AM	5.23		159			H
2018/03/15	Thu	03:08 PM	-0.47		-14			L
2018/03/15	Thu	09:14 PM	4.38		134			H
2018/03/16	Fri	03:01 AM	0.76		23			L
2018/03/16	Fri	08:58 AM	5.29		161			H
2018/03/16	Fri	03:35 PM	-0.45		-14			L
2018/03/16	Fri	09:38 PM	4.61		141			H
2018/03/17	Sat	03:34 AM	0.51		16			L
2018/03/17	Sat	09:32 AM	5.21		159			H
2018/03/17	Sat	04:02 PM	-0.32		-10			L
2018/03/17	Sat	10:05 PM	4.79		146			H
2018/03/18	Sun	04:10 AM	0.32		10			L
2018/03/18	Sun	10:07 AM	5.00		152			H
2018/03/18	Sun	04:29 PM	-0.08		-2			L
2018/03/18	Sun	10:33 PM	4.93		150			H
2018/03/19	Mon	04:48 AM	0.21		6			L
2018/03/19	Mon	10:45 AM	4.64		141			H
2018/03/19	Mon	04:57 PM	0.27		8			L
2018/03/19	Mon	11:03 PM	5.00		152			H
2018/03/20	Tue	05:32 AM	0.20		6			L
2018/03/20	Tue	11:28 AM	4.15		126			H
2018/03/20	Tue	05:26 PM	0.70		21			L
2018/03/20	Tue	11:37 PM	5.00		152			H
2018/03/21	Wed	06:23 AM	0.27		8			L
2018/03/21	Wed	12:21 PM	3.58		109			H
2018/03/21	Wed	05:59 PM	1.18		36			L
2018/03/22	Thu	12:18 AM	4.90		149			H
2018/03/22	Thu	07:27 AM	0.39		12			L
2018/03/22	Thu	01:34 PM	3.04		93			H
2018/03/22	Thu	06:38 PM	1.69		52			L
2018/03/23	Fri	01:12 AM	4.73		144			H
2018/03/23	Fri	08:51 AM	0.44		13			L
2018/03/23	Fri	03:25 PM	2.77		84			H
2018/03/23	Fri	07:47 PM	2.15		66			L
2018/03/24	Sat	02:29 AM	4.58		140			H
2018/03/24	Sat	10:26 AM	0.26		8			L
2018/03/24	Sat	05:29 PM	2.98		91			H
2018/03/24	Sat	09:47 PM	2.36		72			L
2018/03/25	Sun	04:01 AM	4.60		140			H
2018/03/25	Sun	11:46 AM	-0.10		-3			L
2018/03/25	Sun	06:37 PM	3.44		105			H
2018/03/25	Sun	11:28 PM	2.12		65			L
2018/03/26	Mon	05:23 AM	4.85		148			H
2018/03/26	Mon	12:44 PM	-0.48		-15			L
2018/03/26	Mon	07:18 PM	3.91		119			H
2018/03/27	Tue	12:37 AM	1.62		49			L
2018/03/27	Tue	06:28 AM	5.18		158			H
2018/03/27	Tue	01:31 PM	-0.75		-23			L
2018/03/27	Tue	07:52 PM	4.35		133			H
2018/03/28	Wed	01:30 AM	1.06		32			L
2018/03/28	Wed	07:22 AM	5.45		166			H
2018/03/28	Wed	02:11 PM	-0.86		-26			L
2018/03/28	Wed	08:25 PM	4.74		144			H
2018/03/29	Thu	02:16 AM	0.54		16			L
2018/03/29	Thu	08:10 AM	5.56		169			H
2018/03/29	Thu	02:48 PM	-0.81		-25			L
2018/03/29	Thu	08:57 PM	5.05		154			H
2018/03/30	Fri	02:59 AM	0.13		4			L
2018/03/30	Fri	08:55 AM	5.49		167			H
2018/03/30	Fri	03:22 PM	-0.61		-19			L
2018/03/30	Fri	09:28 PM	5.27		161			H
2018/03/31	Sat	03:40 AM	-0.14		-4			L
2018/03/31	Sat	09:37 AM	5.25		160			H
2018/03/31	Sat	03:54 PM	-0.27		-8			L
2018/03/31	Sat	09:59 PM	5.36		163			H
2018/04/01	Sun	04:21 AM	-0.24		-7			L
2018/04/01	Sun	10:18 AM	4.86		148			H
2018/04/01	Sun	04:25 PM	0.16		5			L
2018/04/01	Sun	10:29 PM	5.32		162			H
2018/04/02	Mon	05:01 AM	-0.20		-6			L
2018/04/02	Mon	11:00 AM	4.37		133			H
2018/04/02	Mon	04:55 PM	0.66		20			L
2018/04/02	Mon	11:00 PM	5.17		158			H
2018/04/03	Tue	05:44 AM	-0.03		-1			L
2018/04/03	Tue	11:44 AM	3.84		117			H
2018/04/03	Tue	05:23 PM	1.17		36			L
2018/04/03	Tue	11:31 PM	4.91		150			H
2018/04/04	Wed	06:30 AM	0.22		7			L
2018/04/04	Wed	12:35 PM	3.33		101			H
2018/04/04	Wed	05:51 PM	1.67		51			L
2018/04/05	Thu	12:04 AM	4.58		140			H
2018/04/05	Thu	07:25 AM	0.51		16			L
2018/04/05	Thu	01:43 PM	2.90		88			H
2018/04/05	Thu	06:18 PM	2.13		65			L
2018/04/06	Fri	12:44 AM	4.22		129			H
2018/04/06	Fri	08:36 AM	0.75		23			L
2018/04/06	Fri	03:39 PM	2.72		83			H
2018/04/06	Fri	06:58 PM	2.53		77			L
2018/04/07	Sat	01:46 AM	3.88		118			H
2018/04/07	Sat	10:04 AM	0.81		25			L
2018/04/07	Sat	06:25 PM	2.97		91			H
2018/04/07	Sat	09:25 PM	2.75		84			L
2018/04/08	Sun	03:22 AM	3.70		113			H
2018/04/08	Sun	11:24 AM	0.67		20			L
2018/04/08	Sun	06:50 PM	3.28		100			H
2018/04/08	Sun	11:22 PM	2.55		78			L
2018/04/09	Mon	04:52 AM	3.80		116			H
2018/04/09	Mon	12:17 PM	0.46		14			L
2018/04/09	Mon	07:08 PM	3.57		109			H
2018/04/10	Tue	12:22 AM	2.16		66			L
2018/04/10	Tue	05:55 AM	4.05		123			H
2018/04/10	Tue	12:56 PM	0.25		8			L
2018/04/10	Tue	07:26 PM	3.87		118			H
2018/04/11	Wed	01:02 AM	1.71		52			L
2018/04/11	Wed	06:43 AM	4.33		132			H
2018/04/11	Wed	01:28 PM	0.08		2			L
2018/04/11	Wed	07:46 PM	4.19		128			H
2018/04/12	Thu	01:37 AM	1.24		38			L
2018/04/12	Thu	07:24 AM	4.58		140			H
2018/04/12	Thu	01:58 PM	-0.03		-1			L
2018/04/12	Thu	08:08 PM	4.53		138			H
2018/04/13	Fri	02:10 AM	0.77		23			L
2018/04/13	Fri	08:02 AM	4.75		145			H
2018/04/13	Fri	02:26 PM	-0.06		-2			L
2018/04/13	Fri	08:32 PM	4.88		149			H
2018/04/14	Sat	02:44 AM	0.32		10			L
2018/04/14	Sat	08:39 AM	4.82		147			H
2018/04/14	Sat	02:54 PM	0.01		0			L
2018/04/14	Sat	08:58 PM	5.19		158			H
2018/04/15	Sun	03:20 AM	-0.07		-2			L
2018/04/15	Sun	09:18 AM	4.77		145			H
2018/04/15	Sun	03:23 PM	0.17		5			L
2018/04/15	Sun	09:26 PM	5.45		166			H
2018/04/16	Mon	03:58 AM	-0.36		-11			L
2018/04/16	Mon	09:58 AM	4.58		140			H
2018/04/16	Mon	03:53 PM	0.44		13			L
2018/04/16	Mon	09:57 PM	5.62		171			H
2018/04/17	Tue	04:39 AM	-0.54		-16			L
2018/04/17	Tue	10:43 AM	4.27		130			H
2018/04/17	Tue	04:25 PM	0.79		24			L
2018/04/17	Tue	10:30 PM	5.67		173			H
2018/04/18	Wed	05:25 AM	-0.56		-17			L
2018/04/18	Wed	11:33 AM	3.88		118			H
2018/04/18	Wed	04:59 PM	1.21		37			L
2018/04/18	Wed	11:08 PM	5.58		170			H
2018/04/19	Thu	06:18 AM	-0.46		-14			L
2018/04/19	Thu	12:34 PM	3.46		105			H
2018/04/19	Thu	05:38 PM	1.66		51			L
2018/04/19	Thu	11:52 PM	5.34		163			H
2018/04/20	Fri	07:21 AM	-0.27		-8			L
2018/04/20	Fri	01:54 PM	3.16		96			H
2018/04/20	Fri	06:31 PM	2.11		64			L
2018/04/21	Sat	12:50 AM	4.99		152			H
2018/04/21	Sat	08:37 AM	-0.11		-3			L
2018/04/21	Sat	03:36 PM	3.15		96			H
2018/04/21	Sat	08:01 PM	2.45		75			L
2018/04/22	Sun	02:08 AM	4.63		141			H
2018/04/22	Sun	09:59 AM	-0.08		-2			L
2018/04/22	Sun	05:10 PM	3.47		106			H
2018/04/22	Sun	09:57 PM	2.43		74			L
2018/04/23	Mon	03:42 AM	4.45		136			H
2018/04/23	Mon	11:13 AM	-0.16		-5			L
2018/04/23	Mon	06:07 PM	3.92		119			H
2018/04/23	Mon	11:30 PM	2.00		61			L
2018/04/24	Tue	05:07 AM	4.50		137			H
2018/04/24	Tue	12:12 PM	-0.26		-8			L
2018/04/24	Tue	06:47 PM	4.39		134			H
2018/04/25	Wed	12:36 AM	1.39		42			L
2018/04/25	Wed	06:16 AM	4.64		141			H
2018/04/25	Wed	12:59 PM	-0.29		-9			L
2018/04/25	Wed	07:22 PM	4.82		147			H
2018/04/26	Thu	01:27 AM	0.78		24			L
2018/04/26	Thu	07:12 AM	4.75		145			H
2018/04/26	Thu	01:39 PM	-0.21		-6			L
2018/04/26	Thu	07:54 PM	5.18		158			H
2018/04/27	Fri	02:11 AM	0.25		8			L
2018/04/27	Fri	08:02 AM	4.76		145			H
2018/04/27	Fri	02:14 PM	-0.03		-1			L
2018/04/27	Fri	08:25 PM	5.46		166			H
2018/04/28	Sat	02:52 AM	-0.16		-5			L
2018/04/28	Sat	08:46 AM	4.66		142			H
2018/04/28	Sat	02:47 PM	0.24		7			L
2018/04/28	Sat	08:54 PM	5.63		172			H
2018/04/29	Sun	03:31 AM	-0.42		-13			L
2018/04/29	Sun	09:29 AM	4.47		136			H
2018/04/29	Sun	03:18 PM	0.56		17			L
2018/04/29	Sun	09:23 PM	5.68		173			H
2018/04/30	Mon	04:09 AM	-0.53		-16			L
2018/04/30	Mon	10:10 AM	4.20		128			H
2018/04/30	Mon	03:48 PM	0.93		28			L
2018/04/30	Mon	09:52 PM	5.61		171			H
2018/05/01	Tue	04:46 AM	-0.50		-15			L
2018/05/01	Tue	10:52 AM	3.90		119			H
2018/05/01	Tue	04:16 PM	1.31		40			L
2018/05/01	Tue	10:21 PM	5.43		166			H
2018/05/02	Wed	05:25 AM	-0.36		-11			L
2018/05/02	Wed	11:36 AM	3.58		109			H
2018/05/02	Wed	04:44 PM	1.69		52			L
2018/05/02	Wed	10:50 PM	5.17		158			H
2018/05/03	Thu	06:07 AM	-0.13		-4			L
2018/05/03	Thu	12:26 PM	3.28		100			H
2018/05/03	Thu	05:12 PM	2.05		62			L
2018/05/03	Thu	11:20 PM	4.84		148			H
2018/05/04	Fri	06:54 AM	0.14		4			L
2018/05/04	Fri	01:30 PM	3.06		93			H
2018/05/04	Fri	05:42 PM	2.39		73			L
2018/05/04	Fri	11:56 PM	4.47		136			H
2018/05/05	Sat	07:50 AM	0.41		12			L
2018/05/05	Sat	02:57 PM	2.98		91			H
2018/05/05	Sat	06:30 PM	2.69		82			L
2018/05/06	Sun	12:43 AM	4.09		125			H
2018/05/06	Sun	08:57 AM	0.59		18			L
2018/05/06	Sun	04:46 PM	3.15		96			H
2018/05/06	Sun	08:31 PM	2.86		87			L
2018/05/07	Mon	02:03 AM	3.76		115			H
2018/05/07	Mon	10:07 AM	0.65		20			L
2018/05/07	Mon	05:39 PM	3.43		105			H
2018/05/07	Mon	10:30 PM	2.69		82			L
2018/05/08	Tue	03:41 AM	3.62		110			H
2018/05/08	Tue	11:06 AM	0.61		19			L
2018/05/08	Tue	06:07 PM	3.75		114			H
2018/05/08	Tue	11:43 PM	2.26		69			L
2018/05/09	Wed	05:00 AM	3.69		112			H
2018/05/09	Wed	11:53 AM	0.53		16			L
2018/05/09	Wed	06:31 PM	4.11		125			H
2018/05/10	Thu	12:31 AM	1.73		53			L
2018/05/10	Thu	06:01 AM	3.87		118			H
2018/05/10	Thu	12:31 PM	0.47		14			L
2018/05/10	Thu	06:56 PM	4.51		137			H
2018/05/11	Fri	01:11 AM	1.15		35			L
2018/05/11	Fri	06:51 AM	4.05		123			H
2018/05/11	Fri	01:06 PM	0.45		14			L
2018/05/11	Fri	07:22 PM	4.94		151			H
2018/05/12	Sat	01:49 AM	0.56		17			L
2018/05/12	Sat	07:38 AM	4.21		128			H
